微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
A5LlgAxS3,"""而所有舆论导向都会冲她伸出大拇指，再向其她不安分的女人重复，真爱重如山，早晚守得云开日月出，他终究爱的还是你，最后爬也还是会爬回到你身边的。我靠! 去他大头鬼的假真爱，所有关于良家妇女的陈词滥调和谬论请在我这靠边站，如果没有良家夫男，没有平等和高潮，说出大天，我也不要!""  ",,无,无,无,2013-08-21 14:08,微博 weibo.com,19,6,4
A5LkIjNZb,"我十年前写的东西，经得起流年，放到现在都不过时: ""我向来觉得那些相信老公只是外面逢场作戏守住正房位置不放的女人说白了都是被人灌了迷魂汤还自觉自愿守住活寡以此为乐甘心牺牲快感的免费收尸工，她们所有的收获就是混个金婚，到时伺候精元耗尽回归家庭的糟老头子，如果比他死得晚刚好为他备棺收尸""  ",,无,无,无,2013-08-21 14:07,微博 weibo.com,25,11,8
A5CTPhTZI,"很多男网友说，夫妻间除了性爱，还有更高尚的东西存在，所以性爱不和谐了，可以找情人弥补，没必要离婚，因为维持婚姻的是更高尚的东西，不是低级的性爱。这话，我听着别扭，又没法反驳，一并找老公解决难题，结果他反问""还有什么东西比Wahrheit更高尚的吗(事实,真话,真相,真理,德语就这一个词)?""  ",,无,无,无,2013-08-20 16:39,微博 weibo.com,10,38,20
A5Cou8o9G,"多次碰到男网友义愤填膺指责我，质问我，女性若注重性爱，男人ED了咋办? 我拿这问题问老公，结果人家从容不迫道""ED就像牙疼，你牙疼吃不下饭，不去治疗，还强迫老婆也别吃饭，这种男人，大脑都ED了，女人要他干吗?"" 最后我老公语重心长补充道""现代医学这么发达，牙掉了安假牙，用不着禁食饿死你老婆。""  ",,无,无,无,2013-08-20 15:22,微博 weibo.com,18,37,39
A5CaAuJPm,"昨跟好友小聚，她女儿20岁，12月份结婚，女婿也不过才二十二三岁的样子，俩年轻人找房搬家中难免有不同意见，女婿一怒之下回家搬兵老母，希望自己妈妈出头摆平，结果被他妈教训道""儿子，你已经是成年人了，你和任何人的矛盾都只能亲自跟当事人解决，爱情会帮助你们找到解决办法，很遗憾我不能帮忙。""  ",,无,无,无,2013-08-20 14:47,微博 weibo.com,11,19,12
A5C3lCf0w,"德语Sehen是""看见""的意思，Sucht是""上瘾""，合一起Sehensucht就是""思念""，表达""思念""其实就是对看见某样东西到了上瘾的地步。不同的语言对同一情感的不同表达方式非常有趣，换个角度一看，""思念""原是一种瘾啊。  ",,无,无,无,2013-08-20 14:30,微博 weibo.com,4,9,11
A5BPDcXlj,"德语Heim是""家乡""的意思，weh是""疼痛""，合一起Heimweh就是""乡愁""; Fern是""遥远""的意思，和""疼痛""合一起Fernweh就是""远愁""，意思是""思念远方""---对从未去过的地方泛起思念之情。第一次读到这个词怦然心动，没有人比我更理解远愁这俩字，因为，不管到了多远的地方，我都更向往地平线后面的那个世界。  ",,无,无,无,2013-08-20 13:56,微博 weibo.com,11,10,9
A5tOP7llw,网友说：老话说，结婚第一年做一次爱，放一颗豆子进缸里，第二年做次爱，从缸里拿出一颗豆子，缸里的豆子一辈子都拿不完呀。答: 按老话结婚，靠的是男女二人的家庭条件和天然新鲜感，不是深层次性爱交流，当新鲜感消失后，就无以为济了。记住，夫妻在一起就是为了互相舔豆豆，不是为了无聊数豆豆。  ,,无,无,无,2013-08-19 17:32,微博 weibo.com,12,5,4
A5tnVDiQb,"""大部分男人在纯性体验方面希望女人经验丰富一点，和自己各款都能体验一下，而在寻求配偶时，又希望对方没有经验，或者仅有很少的可以忽略不计的性经验。这是男性普遍存在的“利我”的性心理。 以上是@幸福玛丽娅微博 做的一个调查。""----这种矛盾心理就是性爱与婚姻分离的根源，男女活该活受罪!!  ",,无,无,无,2013-08-19 16:25,微博 weibo.com,9,26,51
A5tdokXr5,很多夫妻把孩子当成性爱绊脚石，我们夫妻却把孩子当成了性爱催化剂。试想一下，我们至今若没孩子，卧室厨房草地，随时随地想做就做，十年下来恐怕也早腻了，正是因为孩子的降临，才让我们的性爱充满躲猫猫的张力和重获童真的活力，为了避开孩子，调情发明了双关语，加入了童话人物，比偷情还刺激。  ,,无,无,无,2013-08-19 15:59,微博 weibo.com,7,10,2
A5swnwbvg,男网友诚实写道: 性是肉体生活，遵循快乐原则; 爱情是精神生活，遵循理想原则; 婚姻是社会生活，遵循现实原则。这是三个完全不同的东西，婚姻的困难在于，如何在同一个异性身上把三者统一起来。答: 这，正是男人真实的心声，女人真实的困惑。结婚越久，三位一体的男女越罕见，不管你愿不愿意!  ,,无,无,无,2013-08-19 14:14,微博 weibo.com,6,49,12
A5n90pPTf,"网友问: 林女士好，你感觉德国和中国最大不同是什么? 答: 最大不同--中国是超级大国，人口众多; 德国是蕞尔小国, 小国寡民。所以中国人喜欢把人看成负担，其实换个思维方式，像德国人那样，认为人就是财富，人越多思想越丰富，创造力越大，珍惜每个人的存在，尊重每个人的方式，就把负担变成宝藏了。  ",,无,无,无,2013-08-19 00:32,微博 weibo.com,5,11,4
A5jxAEskd,我觉得情人这关系就是扯蛋的关系，因为早晚要完蛋，所以交情只限于玩蛋，没到玩命的地步，跟夫妻不一样，夫妻是生死与共荣辱俱享的关系，若再不能交心交命掏心掏肺，那，还真不如做情人合适，起码情人还扯扯蛋呢，夫妻却连手都懒得再碰，淡出个同林鸟来，大难临头各自飞。  ,,无,无,无,2013-08-18 15:22,微博 weibo.com,18,8,9
A5iO3uU2f,如果夫妻间真正做到真实坦荡，你就玩不腻对方的身体，就像玩不腻自己的身体一样!  ,,无,无,无,2013-08-18 13:30,微博 weibo.com,13,4,6
A52fsx9Tt,"朋友参加聚会，遇到一个佛教徒，每日坚持修行打坐，在杭州那种马路上能烤肉的地方，白天黑夜坚决不许开空调，跟他同住一个酒店房间的同事热得大汗淋漓夜不成寐，人家全靠心静自然凉，一点汗不出，还盖棉被。我跟老公吹牛佛教神功时，他惊讶道""啊? 修完佛教的人都那么自私自利了吗?"" ""啊?""  ",,无,无,无,2013-08-16 19:20,微博 weibo.com,5,36,16
A4RVl0PKI,网友问: 你们夫妻生活和谐，关键是不是你经常给他不一样的诱惑惊喜？答: 我觉得我们夫妻生活和谐，只是因为真实坦荡(所有诱惑和惊喜都是我身为女人本真的模样，不是可以制造的)。这也是为什么我把这次婚姻比作钻石和激光的原因，除了真实，真相和真理，这个世界上没什么更有力和珍贵的。  ,,无,无,无,2013-08-15 17:03,微博 weibo.com,22,35,12
A4JYH9sMI,爱情就像内急，不是你想有就有的，也不是你想没就没的，每个人的真实的爱情，基本都是不可控的，所以我从不强求爱人一辈子爱我，就像不强求爱人跟我一起上厕所一样，憋得脸红脖子粗，也拉不出屎来，没有比这更不人道的了。我们都别浪费生命，就像，我们都别没事赖在厕所里，让双方臭不可闻一样。  ,,无,无,无,2013-08-14 20:50,微博 weibo.com,22,58,19
A4J4EcjlI,我以亲身经历算一笔帐，假如一方不再爱，直接跟伴侣说是最省时省力高效高速利于双方的做法，比如我第一次婚姻，前夫若在第一时间通知我，我们可能用半年时间尝试改善关系，若无效，再用半年时间做好分手准备，比如分居适应等，离婚后各自再用半年时间疗伤起步，只用一年半，大家就重新开始新生活了。  ,,无,无,无,2013-08-14 18:32,微博 weibo.com,12,67,67
A4Hq88K8n,网友问：我想问一个问题，在德国如果男人不出轨，诚实地告诉妻子说：不爱了，我们离婚吧。女人会怎么样啊？a、婚姻是责任，有亲情就行，离啥婚b、没良心，结婚的时候说好要爱一辈子，不许离婚c、我帮你生孩子做饭付出这么多，你竟然敢把我甩了d、尊重你的选择，好合好散吧  ,,无,无,无,2013-08-14 14:19,微博 weibo.com,9,29,5
A4ALn4oNs,网友问: 老公一直怀念学生时代未追到的女神，近期联络上，天天神昏颠倒，暗暗为她定制生日礼物等，钱包暗格放女神的大头照。。。我看在眼里，默不作声。我扮圣母白莲花吗?  ,,无,无,无,2013-08-13 21:22,微博 weibo.com,3,23,5
A4qc0xm3o,关于德国社会对于婚姻的态度，具体例子说明: 假如我和老公通知亲朋好友，我们夫妻决定分居了，也不过就像一颗石子投入湖心，整个社交圈会起涟漪，但也仅此而已，我们从此可以各自带情人出现，无人震惊; 但是，假如我老公前脚跟我出入，后脚带情人登场，那整个社交圈就像冷水泼进了热油，炸锅了。  ,,无,无,无,2013-08-12 18:28,微博 weibo.com,8,14,5
A4pIcdr1G,"中国人分蛋糕, 是靠说教，让大家礼仪谦让，尊老爱幼，由上及下，热衷宣讲孔融让梨，期盼明君清官再世，但最终，执刀切蛋糕的总是先下手为强，君君臣臣，最后沆瀣一气昏庸黑暗。而西方人分蛋糕，没有谦让，只有制衡---执刀切蛋糕的人不能负责分蛋糕，就这么简单一招，省却多少废话。  ",,无,无,无,2013-08-12 17:14,微博 weibo.com,13,21,9
A4pybpwWy,"半夜正读书，抬手看了下表，我说""都12点整了，你的小铃铛怎么还没叮当呢?"" 老公愣了一秒恍然大悟，气势汹汹说""我这怎么能叫小铃铛? 应该叫Big Ben!""  ",,无,无,无,2013-08-12 16:49,微博 weibo.com,9,2,6
A49qg13LJ,网友问: 和男友异地恋，不常见，刚见面我又病了，他口头上关心却跑到朋友家打游戏。我很难受，是我要的东西不正常还是他本身的问题？答: 你要的很正常，他给的不对头。不管他爱不爱你，都不大适合结婚，只能在健康美好时凑一块，不能在生病倒霉时陪伴的，适合做情人，不适合做夫妻。  ,,无,无,无,2013-08-10 23:46,微博 weibo.com,8,25,5
A49f0kZJe,德国政府下决心跟烟草做斗争，一方面是民意(非吸烟人士终于受够了二手烟); 一方面是保险公司不乐意啦。比如说，肺癌要由保险公司掏钱治疗，而引起肺癌的烟草公司却不出一分钱，保险公司跟烟草公司俩大佬掐架，再加上选民意愿，政府只是个墙头草，谁强偏向谁而已。  ,,无,无,无,2013-08-10 23:18,微博 weibo.com,4,64,9
A3YXWcI9T,"网友认为社会允许多种性爱姿势存在是""世界末日，轻易放纵，多少女孩成了女人。酒店定光，避孕套售馨，医院人流巨多…这是和谐社会?"" 答: 在德国这种性自由国度，酒店也没爆满，人流属于违法，人口也没爆炸。不过在德国确实有一种人活在末日，就是小JJ老男人再也骗不到女孩子了，其他人都活得崩崩的。  ",,无,无,无,2013-08-09 21:09,微博 weibo.com,33,9,18
A3YxTm3HB,婚姻只是众多姿势中的一种，甚至可以说，一夫一妻制婚姻是众多姿势中最不好玩的一种，只有在充分自由的前提下，仍然坚持选择这种姿势的人，才有可能玩好!(注意，也仅仅是可能而已，不是必然) 中国目前的婚姻乱象说明很多不适合婚姻的人被绑架在婚姻里，扭曲挣扎出的姿势注定不好玩也不好看。  ,,无,无,无,2013-08-09 20:04,微博 weibo.com,15,11,49
A3Yue7Z2Z,婚姻不是适合所有人的生活方式，在西方早已成为多项选题之一，不是单项必答题。西方人虽然结婚后找情人的少，但单身时性关系复杂，五花八门走马观花花样翻新，我觉得，没有任何一种生活方式适合所有人，就像性爱中没有任何一种姿势适合所有人一样，一个社会应该容许每个人选择自己最舒服的姿势活着。  ,,无,无,无,2013-08-09 19:55,微博 weibo.com,15,7,5
A3XvagcaQ,"网友说: 博主之前的遭遇值得同情... 答: 我记得那年闹离婚时，有个朋友听我出事儿了来安慰我，一进门看到桌上一堆德语书和字典，一看我本人精神抖擞说说笑笑，他说了句意味深长的话，他说""本来我很同情你，现在我很同情他(指前夫)。"" 你看，连我朋友都不同情我，你现在知道该去同情谁了吧?  ",,无,无,无,2013-08-09 17:25,微博 weibo.com,16,2,14
A3WSGr9CS,在德国吸烟人士越来越难熬了，先是税重烟贵，禁止吸烟广告; 后是公共场所分区划片; 再后来一不做二不休，公共场所绝对禁烟，饭店酒吧汽车火车，全面封锁; 最近，又出了个案子，只要邻居或出租房主提出异议，连在家室内吸烟也被禁了; 最后，又出了个案子，连在家门口室外吸烟也不成了，烟民咋活啊?  ,,无,无,无,2013-08-09 15:50,微博 weibo.com,6,15,8
A3WNYuJu5,情操情操，就是有感情操下去; 操守操守，就是操后还能守住。所以我觉得我和老公，都是特有情操和操守的人。  ,,无,无,无,2013-08-09 15:39,微博 weibo.com,11,7,5
A3WLCfwq0,"""仓廪实而知礼节，衣食足而知荣辱""这话用在性爱上同样有效，""身心足而知情重""，举个简单的例子，酒足饭饱和饥肠辘辘去逛超市你买的东西绝对不一样。我们现在生活的大环境，性爱早已像超市，出门就可随手随机享用。在家饿得大眼灯似的，再指望靠情操坚守，纯属痴人说梦蠢人自欺恶人说谎。  ",,无,无,无,2013-08-09 15:33,微博 weibo.com,9,4,5
A3SkttSEo,一个80后未婚姑娘认为中国已无性压抑，叫板跟我比一下谁性福更大，我跟她讲，我对中国80后90后非常欣赏，所以才说过若再婚只找80后，不考虑70后这种话，这是我对80后最大吹捧。至于未婚女跟已婚女的性福打擂，还是算了吧，一个出售并磨损10年的商品和一个只适用未出售的商品做对比，没任何商业说服力。  ,,无,无,无,2013-08-09 04:15,微博 weibo.com,11,5,12
A3PJUEnbQ,我总嘲笑70后大叔，有个80后姑娘，替大叔说话: 现在中国性开放程度超乎你的想象。答: 连西方男人到了中国都会成土鳖，带着情人满世界走，有本事他带着情人到自家门口走一圈试试! 性开放和性解放是俩概念，连在中国总跟西方人鬼混的80后都搞不清，你让我怎么相信70后现在就不是土鳖了呢，呵呵。  ,,无,无,无,2013-08-08 21:39,微博 weibo.com,5,10,6
A3PpEeBpf,"给大叔控们泼个冷水: 女孩子二十多岁嫁给四十多岁的大叔，女人四十多岁时，大叔六十多了，你看我，今年41，身边站六十多一老头，你觉得般配吗? 到那时你精力正充沛，他却掉链子了，他嫌你穿得太暴露，你嫌他老破土旧怂...""大叔控""的结局多半是""大爷受""，伺候大爷受罪去吧。  ",,无,无,无,2013-08-08 20:49,微博 weibo.com,8,17,15
A3NCha3es,实事求是讲，日本在饮食方面比德国强百倍，精细讲究，丰富繁多，不像德国饮食，甜腻粗糙，单调无聊(但愿我比较时不会又有人蹦出来说，人生除了吃饭还有更高尚的情感，烦死个人)。食色是人生两大重头，别管艺术还是政治，经济还是哲学，大家就围着这两样忙活，以这两样为动力，别的，全是吹牛。  ,,无,无,无,2013-08-08 16:15,微博 weibo.com,10,9,10
A3MtXcyv3,我倚老卖老回答下为啥会出现这结果，因为中西方婚前择偶标准就不同，婚后生活中心更不同，西方女人婚前婚后都是主人，中国女人婚前受世俗观念和父母期望影响，婚后受养育子女和孝顺公婆影响，在各个时期都只是半... (评论给 美刊：五国调查显示中国女性对婚姻满意度最低_中国频 http://t.cn/zQNa699 )  ,,无,无,无,2013-08-08 13:22,参考消息,4,6,7
A3FM1jiz2,保险公司寄来一张卡片，Organspendeausweis(器官捐献证书)，大小如银行卡，方便夹在钱包里。有几个选项: 本人死后可捐献哪些器官，或死后由哪位亲属决定器官捐献，或决定不捐献任何器官等，签字生效，万一出什么意外，医生据此行事。原来器官捐献手续如此简单啊。  ,,无,无,无,2013-08-07 20:17,微博 weibo.com,8,6,4
A3FAex5SO,"和老公聊天，居然把他聊硬了(语言功夫)，他说""快把它说回去，万一孩子回来就麻烦了!"" 我说""你说口袋里有手电筒不就得了。"" 晚上老公给孩子念书，小女儿突然问""这是什么? "" 老公说""手电筒""，边说边掏出一个真手电筒来，我连惊带笑前仰后合，孩子们莫名其妙，老公故意说""妈妈，手电筒有什么好笑?""  ",,无,无,无,2013-08-07 19:48,微博 weibo.com,18,2,15
A3FrUBBNm,"孩子们非要养宠物，大女儿说: ""Emma家有四十只兔子，咱们家什么都没有。"" 我说: ""我已经有俩宠物了，懒得再伺候别的宠物。你们要是想养宠物，除了鱼，谁都不许进屋，Emma家的兔子也是不许进屋的呀。"" 她说: ""谁说的? 兔子一端到盘子里就允许进厨房了呢。"" ""啊?"" 这孩子，说话越来越像她爸爸。  ",,无,无,无,2013-08-07 19:28,微博 weibo.com,3,1,5
A3DqK9zJM,#家有贤妻# 这个丈夫真是个笨蛋，静音键明明在女人屁股上，拍一下，会累死你啊? 详情:http://t.cn/zQIuMGZ  ,,无,无,无,2013-08-07 14:19,超话,6,2,2
A3wYx2YuK,我老公觉得，人这辈子做过自己想做的事，操过自己想操的人，面对死亡就没什么遗憾的，地球容量有限，生死更替好给后人腾地儿，这么美好的世界，不能总是一代人霸占，不过他觉得唯一遗憾的是，真的很想看看未来技术发展到什么地步啊。  ,,无,无,无,2013-08-06 21:53,微博 weibo.com,19,39,29
A3wVl4XiY,我参加过三个葬礼三个婚礼(其中一次婚礼是自己的)，感觉德国婚礼葬礼程序都差不多，尤其男士服装，全都是黑色，我跟老公说，他那身婚礼服装可以留在以后参加我葬礼时穿，等他死了直接当丧服用即可，省钱啊。把他给乐的，他说，参加我的葬礼真不知是该哭还是该笑。我给他讲中国庄子鼓盆而歌，他觉得牛。  ,,无,无,无,2013-08-06 21:45,微博 weibo.com,8,4,3
A3wRhiobb,因为活得活蹦乱跳，所以死得也不悲悲切切，德国人好像对死亡也比较从容，可能因宗教信仰对世俗观念影响吧，多数人还是相信有个天堂在前方，亲人只是先一步而去，早晚大家还会欢聚一堂共喝庆功酒，庆祝天国的到来，所以德国人的葬礼上没有二胡的凄切，只有提琴的婉转，有伤感，没惨淡。  ,,无,无,无,2013-08-06 21:35,微博 weibo.com,9,8,12
A3wLU0rqH,去做发型时读杂志，据查德国女性更年期后性生活质量大幅提高，感受更丰富，身体更加敏感，需求更加强烈，因女性断掉月经周期后，随之失去了由性带来的生儿育女的压力和负担，反而不是青春胜似青春了。感觉德国好像就没有什么正儿八经苟延残喘的老年人，全都活蹦乱跳的，嘎巴一声! 倒地而亡。  ,,无,无,无,2013-08-06 21:22,微博 weibo.com,6,18,25
A3vInyht3,老夫老妻之间的激情靠的不是新鲜感，而是创造力。这就像，你可以跟100个人重复一个笑话，每次听到的笑声都是不同的，难度非常小，也无需创造力! 你跟一个人讲100个不重样的笑话，每次听到的笑声其实也是不同的，但难度却非常大，需要创造力。只是，这需要两个人的信念，所以才更难。  ,,无,无,无,2013-08-06 18:41,微博 weibo.com,13,38,11
A3vyU7Fbc,网友说: 我觉得婚姻和恋爱不同的一点应该是恋爱只有爱情，而婚姻是爱情+亲情。答: 我还是觉得，婚姻和恋爱最大的区别在于---恋爱时没有固定地点男盗女娼，结婚后有了固定地点男盗女娼，至于婚姻中的责任和义务，比如分摊家务和账单，都是男盗女娼的前奏和后戏，干起来才叫有劲头呢，哪里会喊冤?  ,,无,无,无,2013-08-06 18:17,微博 weibo.com,6,10,9
A3lkR4nkz,很多女网友都因丈夫出轨而询问过我该怎样挽救婚姻，或是否该离异，我想到的第一个问题都是，作为丈夫，他还能满足你吗? 你每周需要几次? 你们夫妻目前每周做几次? 质量如何? 因为，这就是我第一次婚姻时发现前夫出轨考虑的问题，答案很明显，数量和质量完全不能满足我，OK，离婚!!  ,,无,无,无,2013-08-05 16:15,微博 weibo.com,7,15,15
A3ldoiBdb,很多人说我欲望大于普通女人，错! 我的欲望不高于常态，我只是比其她女人更诚实，清楚并承认自己吃几两干饭，从年轻时我便知道自己每周需要一两次(大家算算，年平均次数远低于世界统计100次的水平)，欲望如此低，中国亲情式婚姻都满足不了我，可见，中国多少女性在性压抑中枯萎!  ,,无,无,无,2013-08-05 15:57,微博 weibo.com,15,37,31
A3kTavX7p,网友说: 我男友居然跟我说他身边的哥们儿也和他一样五分钟就完事儿，我可无语。答: 好可爱的男友，称得上实话实说的快男了，他有一帮铁哥们儿，充分说明物以类聚人以群分。只是身为女友的你可能不是快女，超女遇到快男，也不是无解，你可以自己先预热，快结束时再诚邀他加入，一举达共鸣。  ,,无,无,无,2013-08-05 15:07,微博 weibo.com,6,5,13
A3eyk0B7F,网友问: 在当今中国这个混乱的社会，如何跟老公持续、长久地在婚内搞情人关系？男生女生各要注意些什么？答: 婚姻不是独角戏，而是二人转，一个人的双簧，看着滑稽，实为悲剧。男生女生最要注意的就是，双双承认自己身为异性的身心需求，双双尊重对方身为异性的身心需求，说实话，干实事。  ,,无,无,无,2013-08-04 22:59,微博 weibo.com,11,9,2
A3epYj7G9,网友问: 长辈都说结婚久了爱情就变亲情，左手摸右手。貌似中国男人普遍喜欢找个老婆当神供着，觉得老婆没外面野花香。答: 若男人娶个老婆当神供着，倒好啦! 他们娶个老婆是当糟糠收着，不让别人动，自己也不碰，丰年时不跟你共享，流年时再拿你充饥，等他玩累了闹够了得病了倒霉了，再回家让你伺候的。  ,,无,无,无,2013-08-04 22:39,微博 weibo.com,14,48,22
A3eml9Y1a,网友问: 婚后才发现吸引自己的特质只能在情人身上找到，配偶不具备也无法培养出，但又不能离婚，这种情况怎么破？答: 我要是知道这种情况怎么破当初就不用费劲离婚了，发现婚姻不如意只有三条路可走 1，离婚; 2，找情人弥补; 3，认命。这三条路分别适合三类人 1，莽人; 2，俗人; 3，常人。  ,,无,无,无,2013-08-04 22:30,微博 weibo.com,8,11,15
A2UdVDegA,"圣经旧约""创世纪""19章: 所多玛城罪恶，耶和华要灭此城，天使通知罗得携妻女离开，不准回头，罗得妻子好奇，回头立成盐柱(估计这段大家都听说过)。接下来罗得和两个女儿住到山上，有一天大女儿对小女儿说""...我们和父亲同寝，好从他存留后裔...""，大小女儿各生一子，分为两大始祖。@穿木屐的玛窦  ",,无,无,无,2013-08-02 19:14,微博 weibo.com,1,13,13
A2TpWgoTB,"冯唐说: ""女人的脸蛋、屁股，都不如内心强大到混蛋重要!"" 我想，冯唐以他的盖世才华算得上高富帅才了吧，看看，高富帅才们欣赏什么女人。你若把自己弄成内心脆弱到完蛋的地步，周围就自动围绕一帮屌丝，盯着你的处女膜友邦惊诧咂舌品评，用舆论把你吓成小脚老太太。  ",,无,无,无,2013-08-02 17:11,微博 weibo.com,30,39,19
A2Mlevd2G,我第一次婚姻是典型中国式婚姻，先热恋，后结婚。前夫也不坏，无暴力无赌博无不良嗜好，对我称得上温柔包容，但，也正如所有中国式婚姻，是亲人式的好，没有情人般的妙。热恋时有过浪漫疯狂，婚后渐入平淡琐碎，我内心里的风情日益压抑无处可诉，性欲日益膨胀四处爆炸，现在想来真是往事不堪回首。  ,,无,无,无,2013-08-01 23:10,微博 weibo.com,15,79,32
A2M0T3wFR,"罗西解释中国式婚外情: 如果自己婚姻内就有""情人般""的关系，那么就不会太饥渴地去找""第二种关系""...但中国女性大部分出轨的起因是：家里有家长有哥哥，可是总觉得还有一个男人没有回家，于是就去寻找，才惊醒：那个陌生的男人叫""情人""。----总算有中国男人重视婚内情人关系了。  ",,无,无,无,2013-08-01 22:20,微博 weibo.com,8,8,9
A2IOibgiN,我举个具体例子来说明权力不受约束时会导致每个人的思维如何变形: 老公公司目前正投标承接该市某项目，而我恰恰因接送孩子认识本市市长(很帅哦)，如果在中国，我，一定想方设法接近他，而在德国，就算我跟他混上床，他都不可能把项目拍给我(不是我魅力不够大，而是他权力不够大)!!  ,,无,无,无,2013-08-01 14:11,微博 weibo.com,4,12,1
